SEASON_YEAR,PLAYER_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2004,2866,Jackie,Butler,C,6' 8'',6' 9.5'',263,7' 1.5'',9' 1'',16.3,,
2004,12175,Aleksandar,Capin,PG,6' 0'',6' 1.25'',176,6' 1.5'',7' 10'',9.3,,
2004,12176,Ales,Chan,C,7' 0'',7' 2'',255,7' 3'',9' 5'',14.8,,
2004,2735,Josh,Childress,SG-SF,6' 5.75'',6' 7.25'',196,6' 11'',8' 9'',9.3,,
2004,200555,TJ,Cummings,SF,6' 7.5'',6' 8.75'',215,6' 9.5'',8' 10.5'',6.7,,
2004,2845,Erik,Daniels,SF-PF,6' 6.25'',6' 7.5'',223,6' 11'',8' 10'',18.5,,
2004,2736,Luol,Deng,SF,6' 7'',6' 8'',220,7' 0.5'',9' 0.5'',6.7,,
2004,12177,Marcus,Douthit,C-PF,6' 9.5'',6' 11'',223,7' 4'',9' 3.5'',13.7,,
2004,2768,Chris,Duhon,PG,6' 0'',6' 1.25'',193,6' 6.5'',8' 2'',6.7,,
2004,2823,John,Edwards,C,6' 11.25'',7' 1'',264,7' 4.5'',9' 5'',14.1,,
2004,2765,Andre,Emmett,SG-SF,6' 3.5'',6' 4.5'',216,6' 9'',8' 4'',6.7,,
2004,2824,Desmon,Farmer,SG,6' 4.5'',6' 5.75'',214,6' 8.5'',8' 7'',5.3,,
2004,2784,Luis,Flores,PG-SG,6' 0.5'',6' 1.75'',202,6' 7.5'',8' 2.5'',6.0,,
2004,2782,Matt,Freije,SF-PF,6' 8.25'',6' 9.5'',234,7' 1'',9' 0.5'',10.8,,
2004,12178,Chris,Garnett,C-PF,6' 8.25'',6' 9.75'',260,7' 1'',9' 0'',14.8,,
2004,101155,Ryan,Gomes,SF-PF,6' 6.5'',6' 7.75'',248,7' 2'',8' 10.5'',,,
